annotation_id,query_id,job_id,query_text,job_title,company,system_relevance_grade,annotator_1_grade,annotator_2_grade,adjudicated_grade,guideline
20260607_sbert_final_validation-ann-0001,sbert-v2-profile-04200,sbert-v2-job-e7cd95e2b00ebe551529,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Software Engineer - Backend,cardless,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0002,sbert-v2-profile-04200,sbert-v2-job-27c0d6cbe2c00289cbdb,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Senior Manager, Accounting",applied,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0003,sbert-v2-profile-04200,sbert-v2-job-fa01dd2dd64d90480e6c,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Senior Manager, B2B Marketing",a-place-for-mom,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0004,sbert-v2-profile-04200,sbert-v2-job-60da1689958b2410942e,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Media Application Engineer,42dot,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0005,sbert-v2-profile-04200,sbert-v2-job-7415a363fe29b708b3c8,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Software Engineer – Autonomy Stack,applied,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0006,sbert-v2-profile-04200,sbert-v2-job-225f6095d59b2b54815f,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Deployment manager / Project manager,Resilience Care,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0007,sbert-v2-profile-04200,sbert-v2-job-ff9797a42d8e554729d9,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Engineering Manager, Connectivity",anrok,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0008,sbert-v2-profile-04200,sbert-v2-job-35085ddccb426c69932d,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Data Engineer,clickup,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0009,sbert-v2-profile-04200,sbert-v2-job-4e74ee66b0b8b1167183,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",CRM Manager,bitstack,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0010,sbert-v2-profile-04200,sbert-v2-job-f434f3c7cb447ccd1517,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Founding Account Executive,august,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0011,sbert-v2-profile-04200,sbert-v2-job-3f753b5436588121e99c,"Mahasiswa atau early-career candidate untuk Backend di domain software development. Memiliki minat pada machine_learning backend business_analysis data_analysis, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Sales Executive - Germany (Remote, Contract - South Africa)",anyvan,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0012,sbert-v2-profile-04201,sbert-v2-job-c8303599ec5006a86994,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Manufacturing Operations Supervisor,base-power,3,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0013,sbert-v2-profile-04201,sbert-v2-job-daf63a1676fa62e5899d,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Account Development Representative - Future Openings Talent Pool,camunda,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0014,sbert-v2-profile-04201,sbert-v2-job-33e131526a39fe53e9a0,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Account Manager,anima,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0015,sbert-v2-profile-04201,sbert-v2-job-412cdb372311dfa5833d,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Account Executive (Enterprise),artemis,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0016,sbert-v2-profile-04201,sbert-v2-job-98ca64340722a15a183d,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Machine Learning Engineer,bjakcareer,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0017,sbert-v2-profile-04201,sbert-v2-job-8cece8409cb608af55bc,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Business Operations,cardless,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0018,sbert-v2-profile-04201,sbert-v2-job-b1bdfa787b70aab81263,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Director, Product Marketing (Payment, Platform)",airwallex,0,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0019,sbert-v2-profile-04201,sbert-v2-job-2686cbd4f18cceeb1337,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.","Software Engineer, Infra",amperos,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0020,sbert-v2-profile-04201,sbert-v2-job-a49024881273726ff0ea,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Account Executive,antithesis,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
20260607_sbert_final_validation-ann-0021,sbert-v2-profile-04201,sbert-v2-job-cb4718073c61a23f7417,"Mahasiswa atau early-career candidate untuk Ui Ux Product di domain software development. Memiliki minat pada machine_learning business_analysis data_analysis it_support, pengalaman proyek digital, dan mencari lowongan yang sesuai skill inti.",Senior Mechanical Engineer,42dot,1,,,,"grade 0=irrelevant, 1=marginal, 2=relevant, 3=highly relevant"
